team_id,team_name,season_id,season_name,season_year,matches_played,overall_win_pct,overall_avg_goals_per_match,overall_avg_scored,overall_avg_conceded,overall_btts_pct,overall_clean_sheet_pct,overall_avg_xg,overall_avg_xga,home_matches_played,home_win_pct,home_avg_goals_per_match,home_avg_scored,home_avg_conceded,home_btts_pct,home_clean_sheet_pct,home_avg_xg,home_avg_xga,away_matches_played,away_win_pct,away_avg_goals_per_match,away_avg_scored,away_avg_conceded,away_btts_pct,away_clean_sheet_pct,away_avg_xg,away_avg_xga
38732,Stal Mielec,37062,Ekstraklasa 21/22,21/22,32,28.1,1.19,1.19,1.53,62.5,18.8,0.00,0.00,16,43.8,2.50,1.31,1.19,56.3,25.0,0.00,0.00,16,12.5,2.94,1.06,1.88,68.8,12.5,0.00,0.00
7295,Radomiak Radom,37062,Ekstraklasa 21/22,21/22,33,33.3,1.27,1.27,1.21,57.6,24.2,0.00,0.00,17,41.2,2.82,1.53,1.29,70.6,17.6,0.00,0.00,16,25.0,2.13,1.00,1.13,43.8,31.3,0.00,0.00
36851,Bruk-Bet Termalica Nieciecza,37062,Ekstraklasa 21/22,21/22,33,21.2,1.06,1.06,1.67,57.6,15.2,0.00,0.00,16,31.3,2.69,1.13,1.56,56.3,18.8,0.00,0.00,17,11.8,2.76,1.00,1.76,58.8,11.8,0.00,0.00
3125,Górnik Łęczna,37062,Ekstraklasa 21/22,21/22,32,18.8,0.84,0.84,1.75,53.1,18.8,0.00,0.00,16,25.0,2.50,0.88,1.63,50.0,18.8,0.00,0.00,16,12.5,2.69,0.81,1.88,56.3,18.8,0.00,0.00
3113,Zagłębie Lubin,37062,Ekstraklasa 21/22,21/22,32,31.3,1.25,1.25,1.72,53.1,25.0,0.00,0.00,16,37.5,3.06,1.38,1.69,62.5,18.8,0.00,0.00,16,25.0,2.88,1.13,1.75,43.8,31.3,0.00,0.00
3106,Legia Warszawa,37062,Ekstraklasa 21/22,21/22,33,36.4,1.36,1.36,1.45,51.5,21.2,0.00,0.00,16,56.3,3.06,1.75,1.31,43.8,25.0,0.00,0.00,17,17.6,2.59,1.00,1.59,58.8,17.6,0.00,0.00
3111,Wisła Kraków,37062,Ekstraklasa 21/22,21/22,33,18.2,1.03,1.03,1.64,51.5,21.2,0.00,0.00,16,25.0,2.44,1.13,1.31,37.5,31.3,0.00,0.00,17,11.8,2.88,0.94,1.94,64.7,11.8,0.00,0.00
3122,Wisła Płock,37062,Ekstraklasa 21/22,21/22,33,45.5,1.45,1.45,1.52,51.5,27.3,0.00,0.00,17,64.7,2.41,1.59,0.82,35.3,47.1,0.00,0.00,16,25.0,3.56,1.31,2.25,68.8,6.3,0.00,0.00
35268,Raków Częstochowa,37062,Ekstraklasa 21/22,21/22,33,57.6,1.73,1.73,0.85,48.5,42.4,0.00,0.00,17,58.8,2.82,2.06,0.76,52.9,47.1,0.00,0.00,16,56.3,2.31,1.38,0.94,43.8,37.5,0.00,0.00
7918,Piast Gliwice,37062,Ekstraklasa 21/22,21/22,32,43.8,1.28,1.28,1.06,46.9,31.3,0.00,0.00,16,43.8,2.50,1.31,1.19,56.3,25.0,0.00,0.00,16,43.8,2.19,1.25,0.94,37.5,37.5,0.00,0.00
