team_id,team_name,season_id,season_name,season_year,matches_played,total_goals_conceded,goals_conceded_per_game,clean_sheets,clean_sheet_pct,total_saves,saves_per_game,total_tackles,tackles_per_game,avg_tackles_won_pct,total_interceptions,interceptions_per_game,total_clearances,clearances_per_game,total_blocked_shots,blocked_shots_per_game,total_ball_recoveries,ball_recoveries_per_game,avg_aerial_duels_pct,avg_ground_duels_pct,avg_duels_won_pct,total_errors_lead_to_goal,total_errors_lead_to_shot
3106,Legia Warszawa,29222,Ekstraklasa 20/21,20/21,30,24,0.80,15,50.0,67,2.23,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
35268,Raków Częstochowa,29222,Ekstraklasa 20/21,20/21,30,25,0.83,12,40.0,70,2.33,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3108,Śląsk Wrocław,29222,Ekstraklasa 20/21,20/21,30,32,1.07,9,30.0,93,3.10,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
4901,Cracovia,29222,Ekstraklasa 20/21,20/21,30,32,1.07,9,30.0,91,3.03,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7918,Piast Gliwice,29222,Ekstraklasa 20/21,20/21,30,32,1.07,12,40.0,87,2.90,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7922,Warta Poznań,29222,Ekstraklasa 20/21,20/21,30,32,1.07,11,36.7,80,2.67,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3110,Górnik Zabrze,29222,Ekstraklasa 20/21,20/21,30,33,1.10,9,30.0,76,2.53,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7913,KS Lechia Gdańsk,29222,Ekstraklasa 20/21,20/21,30,37,1.23,7,23.3,116,3.87,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3121,Lech Poznań,29222,Ekstraklasa 20/21,20/21,30,38,1.27,9,30.0,97,3.23,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3113,Zagłębie Lubin,29222,Ekstraklasa 20/21,20/21,30,40,1.33,7,23.3,92,3.07,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3111,Wisła Kraków,29222,Ekstraklasa 20/21,20/21,30,42,1.40,9,30.0,102,3.40,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3122,Wisła Płock,29222,Ekstraklasa 20/21,20/21,30,44,1.47,9,30.0,78,2.60,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
38732,Stal Mielec,29222,Ekstraklasa 20/21,20/21,30,47,1.57,5,16.7,81,2.70,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7691,Jagiellonia Białystok,29222,Ekstraklasa 20/21,20/21,30,48,1.60,4,13.3,106,3.53,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7919,Podbeskidzie Bielsko-Biała,29222,Ekstraklasa 20/21,20/21,30,60,2.00,4,13.3,90,3.00,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
7918,Piast Gliwice,23666,Ekstraklasa 19/20,19/20,37,32,0.86,15,40.5,118,3.19,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3106,Legia Warszawa,23666,Ekstraklasa 19/20,19/20,37,35,0.95,14,37.8,91,2.46,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3121,Lech Poznań,23666,Ekstraklasa 19/20,19/20,37,35,0.95,14,37.8,120,3.24,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
3117,Pogoń Szczecin,23666,Ekstraklasa 19/20,19/20,37,39,1.05,14,37.8,141,3.81,0,0.00,,0,0.00,0,0.00,0,0.00,0,0.00,,,,0,0
