team_id,team_name,season_id,season_name,season_year,last_5_results,points_last_5,wins_last_5,draws_last_5,losses_last_5,goals_for_last_5,goals_against_last_5,halftime_leading_count,halftime_leading_wins,halftime_leading_draws,halftime_leading_losses,halftime_leading_win_pct,conceded_first_count,points_after_conceding_first,points_pct_after_conceding_first
38732,Stal Mielec,37062,Ekstraklasa 21/22,21/22,LLLWL,3,1,0,4,6,11,12,8,3,1,66.7,26,30,38.5
3125,Górnik Łęczna,37062,Ekstraklasa 21/22,21/22,DLLLL,1,0,1,4,4,11,6,1,2,3,16.7,26,20,25.6
4901,Cracovia,29222,Ekstraklasa 20/21,20/21,DWWWW,13,4,1,0,3,2,7,5,2,0,71.4,21,25,39.7
35268,Raków Częstochowa,29222,Ekstraklasa 20/21,20/21,DWDWW,11,3,2,0,7,1,12,8,4,0,66.7,18,30,55.6
7922,Warta Poznań,29222,Ekstraklasa 20/21,20/21,DDWWD,9,2,3,0,6,6,6,2,3,1,33.3,19,19,33.3
38732,Stal Mielec,29222,Ekstraklasa 20/21,20/21,WLDDW,8,2,2,1,4,3,5,2,0,3,40.0,25,32,42.7
3106,Legia Warszawa,29222,Ekstraklasa 20/21,20/21,WWLDD,8,2,2,1,3,0,9,5,4,0,55.6,15,27,60.0
7918,Piast Gliwice,29222,Ekstraklasa 20/21,20/21,DLWWD,8,2,2,1,6,7,8,6,2,0,75.0,18,20,37.0
3122,Wisła Płock,29222,Ekstraklasa 20/21,20/21,WWDDL,8,2,2,1,8,5,6,4,2,0,66.7,21,22,34.9
3117,Pogoń Szczecin,29222,Ekstraklasa 20/21,20/21,DWLLW,7,2,1,2,4,6,10,6,4,0,60.0,13,6,15.4
3110,Górnik Zabrze,29222,Ekstraklasa 20/21,20/21,WWLDL,7,2,1,2,4,6,8,3,2,3,37.5,21,22,34.9
3113,Zagłębie Lubin,29222,Ekstraklasa 20/21,20/21,LLWLW,6,2,0,3,7,8,7,1,3,3,14.3,23,20,29.0
3121,Lech Poznań,29222,Ekstraklasa 20/21,20/21,LDDLW,5,1,2,2,7,5,9,2,4,3,22.2,21,16,25.4
3111,Wisła Kraków,29222,Ekstraklasa 20/21,20/21,DDWLL,5,1,2,2,5,8,7,2,4,1,28.6,21,29,46.0
3108,Śląsk Wrocław,29222,Ekstraklasa 20/21,20/21,LDLLW,4,1,1,3,8,8,9,4,2,3,44.4,21,21,33.3
7919,Podbeskidzie Bielsko-Biała,29222,Ekstraklasa 20/21,20/21,LLLWL,3,1,0,4,5,8,8,5,0,3,62.5,26,20,25.6
